,Serbian
583,slučaj
584,ovoj
585,svih
586,gledaj
587,kažu
588,kola
589,najbolji
590,događa
591,voliš
592,brat
593,pazi
594,svetu
595,slučaju
596,ikada
597,sata
598,oprosti
599,mojoj
600,stari
601,e
602,ljudima
603,nemamo
604,osoba
605,čujem
606,polako
607,ruku
608,negde
609,učiniti
610,dvoje
611,blizu
612,kraju
613,četiri
614,odakle
615,prilično
616,nedelje
617,vratio
618,van
619,није
620,uradi
621,svega
622,што
623,ceo
624,moguće
625,znaju
626,svom
627,dati
628,laku
629,lice
630,smrt
631,gospođo
632,moji
633,izgledaš
634,videli
635,neku
636,vodi
637,raditi
638,plan
639,policija
640,smrti
641,sina
642,pojma
643,šanse
644,sobu
645,no
646,manje
647,nje
648,brod
649,daleko
650,novca
651,žele
652,netko
653,gospodo
654,ostati
655,vidjeti
656,sinoć
657,oprostite
658,svima
659,reč
660,само
661,momak
662,од
663,čula
664,našli
665,pitanja
666,važi
667,bile
668,mojim
669,drugog
670,razlog
671,dečko
672,га
673,vidio
674,napolje
675,potrebno
676,oružje
677,njen
678,pomognem
679,dragi
680,šest
681,ово
682,sobi
683,dođe
684,а
685,istinu
686,nemojte
687,uradila
688,otišla
689,pištolj
690,ispod
691,čim
692,mesta
693,izgubio
694,napravio
695,nekako
696,devojke
697,vode
698,kome
699,pošto
700,sećaš
701,uraditi
702,prijatelja
703,umro
704,о
705,jesu
706,sastanak
707,moglo
708,njoj
709,njegove
710,trebam
711,ме
712,zovem
713,aha
714,pričam
715,ljubavi
716,odem
717,ispred
718,telo
719,divno
720,tražim
721,jedino
722,piće
723,deca
724,sedi
725,zaboravi
726,veče
727,ikad
728,dođavola
729,govoriš
730,iako
731,gradu
732,govorim
733,dajte
734,decu
735,srećan
736,ostavi
737,učinio
738,krv
739,recite
740,mrzim
741,spremni
742,те
743,poruku
744,uzeo
745,san
746,nekim
747,би
748,telefon
749,razgovarati
750,igra
751,mestu
752,uradiš
753,sestra
754,sine
755,zvao
756,kuća
757,ha
758,kažete
759,tvom
760,ovih
761,pokušavam
762,ostani
763,ovome
764,oboje
765,volela
766,ovi
767,kapetane
768,takav
769,rat
770,sva
771,sećam
772,poslednji
773,sami
774,pogledajte
775,želimo
776,muž
777,deset
778,bojim
779,onog
780,како
781,svako
782,reči
783,zemlji
784,putu
785,bit
786,добро
787,смо
788,vratim
789,njegovo
790,razumeš
791,pitao
792,film
793,traži
794,budu
795,porodica
796,brate
797,ostavio
798,budemo
799,isti
800,cu
801,morati
802,kakve
803,svakog
804,svojoj
805,jedina
806,doktor
807,čuješ
808,dame
809,bok
810,razloga
811,svim
812,zemlju
813,smiri
814,eto
815,druga
816,hajdemo
817,ostali
818,pokušao
819,prva
820,isuse
821,našu
822,miru
823,odeš
824,napred
825,ако
826,pitanju
827,као
828,postoje
829,drugu
830,tražio
831,drugom
832,poslu
833,htio
834,све
835,otvori
836,boli
837,čeka
838,vašu
839,doktore
840,ah
841,napraviti
842,krevet
843,gdine
844,našeg
845,ће
846,ostalo
847,nitko
848,dobre
849,nikoga
850,čovjek
851,lepa
852,njegovu
853,nastavi
854,овде
855,lud
856,kim
857,večeru
858,сте
859,gđo
860,konačno
861,uzeti
862,sveta
863,kraja
864,obično
865,znali
866,tvojim
867,jutros
868,spremna
869,jedva
870,boga
871,smešno
872,koristi
873,školu
874,poziv
875,tih
876,piše
877,svakom
878,krvi
879,poslao
880,brata
881,zanima
882,mjesto
883,živ
884,dali
885,brže
886,kojoj
887,očigledno
888,počeo
889,posebno
890,priču
891,svakako
892,niti
893,odgovor
894,hoćemo
895,gospodin
896,тако
897,zaboravio
898,idite
899,shvatio
900,pomozi
901,nova
902,zemlje
903,strašno
904,sledeći
905,trebaš
906,dolazim
907,meseci
908,grada
909,ode
910,među
911,lijepo
912,barem
913,želela
914,savršeno
915,он
916,druže
917,stan
918,čuli
919,mrtva
920,kriv
921,devojku
922,noge
923,dobila
924,biću
925,vašeg
926,dobri
927,jebi
928,sreće
929,vesti
930,nećete
931,sasvim
932,dala
933,nosi
934,oče
935,red
936,prošle
937,pronaći
938,uradimo
939,roditelji
940,godinu
941,slušajte
942,tokom
943,nekad
944,dobili
945,time
946,velike
947,kasno
948,misle
949,ka
950,prošlo
951,k
952,majku
953,prijatelju
954,iskreno
955,bolji
956,trenutno
957,zbogom
958,često
959,inače
960,toj
961,kuda
962,ubistvo
963,nađem
964,živim
965,ubica
966,zabavno
967,odlazi
968,gledam
969,uradili
970,porodicu
971,izlazi
972,našla
973,sobom
974,postao
975,jebeni
976,stigao
977,godinama
978,kojeg
979,tvojoj
980,đavola
981,celu
982,dolaze
983,mojih
984,moraju
985,priliku
986,morala
987,pravila
988,požuri
989,jesmo
990,nemoguće
991,umesto
992,školi
993,idu
994,napolju
995,drugačije
996,sigurni
997,društvo
998,stavi
999,meseca
1000,jebeno
1001,strani
1002,vrsta
1003,nove
1004,potrebna
1005,bitno
1006,shvatam
1007,okej
1008,sedam
1009,kunem
1010,neverovatno
1011,ubije
1012,loš
1013,miliona
1014,juče
1015,radila
1016,slike
1017,poznajem
1018,знам
1019,pustite
1020,могу
1021,vodu
1022,tiče
1023,zoveš
1024,policiju
1025,pare
1026,veruješ
1027,otišli
1028,hranu
1029,glavni
1030,па
1031,trebaju
1032,odemo
1033,vraćam
1034,био
1035,potreban
1036,bogu
1037,nađemo
1038,tipa
1039,čekam
1040,obećavam
1041,šteta
1042,čekajte
1043,radili
1044,ajde
1045,veliku
1046,kojim
1047,kralj
1048,tvoji
1049,pogrešno
1050,kaži
1051,stara
1052,kojima
1053,gđice
1054,osećaj
1055,реду
1056,glas
1057,napad
1058,pričao
1059,sačekaj
1060,drugim
1061,zatvoru
1062,pokušaj
1063,dom
1064,sem
1065,novu
1066,zauvek
1067,nekom
1068,završio
1069,vole
1070,desi
1071,usta
1072,zatvor
1073,priče
1074,razgovaramo
1075,smisla
1076,pismo
1077,dece
1078,ideju
1079,lično
1080,sliku
1081,umrla
1082,znak
1083,soba
1084,razgovor
1085,pričamo
1086,onih
1087,čovječe
1088,mesec
1089,smeta
1090,seks
1091,greška
1092,нисам
1093,pas
1094,osećaš
1095,trebamo
1096,veruj
1097,mislili
1098,prokletstvo
1099,kakvo
1100,zemlja
1101,poklon
1102,njena
1103,rođendan
1104,glave
1105,nemate
1106,um
1107,vratimo
1108,šef
1109,šefe
1110,svuda
1111,dam
1112,počinje
1113,uredu
1114,onoga
1115,porodice
1116,izvoli
1117,rukama
1118,зашто
1119,imena
1120,točno
1121,drugih
1122,gledaš
1123,jedne
1124,upoznao
1125,rad
1126,the
1127,natrag
1128,kupio
1129,džek
1130,leđa
1131,jos
1132,dvije
1133,dio
1134,čast
1135,dijete
1136,d
1137,razgovaram
1138,osam
1139,ostaviti
1140,kladim
1141,nesto
1142,kog
1143,takve
1144,zasto
1145,iznad
1146,prevod
1147,onu
1148,slika
1149,uspeo
1150,svaka
1151,било
1152,nestao
1153,zovi
1154,išao
1155,pogled
1156,stigli
1157,vide
1158,novo
1159,muškarac
1160,lep
1161,pažnju
1162,ujutro
1163,dođite
1164,izbora
1165,dokaz
1166,naši
1167,knjigu
1168,kapetan
1169,njegovog
1170,trenutku
1171,stranu
1172,nedostaje
1173,škole
1174,veliko
1175,zvala
1176,muža
1177,mozak
1178,minut
1179,poslednje
1180,policajac
1181,vratila
1182,idete
1183,uslugu
1184,dobijem
1185,beba
1186,izvolite
1187,uđi
1188,ovuda
1189,okolo
1190,svake
1191,daje
1192,umreti
1193,још
1194,nekada
1195,luda
1196,pivo
1197,izbor
1198,glavi
1199,zatim
1200,gledao
1201,zovu
1202,sav
1203,beži
1204,tražiš
1205,srca
1206,učini
1207,pomogne
1208,бити
1209,stalo
1210,takva
1211,gubi
1212,нешто
1213,где
1214,slobodno
1215,glupo
1216,našim
1217,kafu
1218,ubili
1219,izgubili
1220,radije
1221,ključ
1222,moć
1223,govorio
1224,najviše
1225,voda
1226,budete
1227,sistem
1228,gospođice
1229,deda
1230,zadnji
1231,čestitam
1232,ubila
1233,nedelju
1234,вас
1235,loša
1236,nemaju
1237,javi
1238,bravo
1239,recimo
1240,njegovom
1241,budite
1242,božić
1243,vratiš
1244,који
1245,pričaj
1246,užasno
1247,stanju
1248,srećna
1249,ulazi
1250,pokušava
1251,jebote
1252,avion
1253,hteli
1254,dupe
1255,definitivno
1256,sledeće
1257,dvojica
1258,njihove
1259,tela
1260,ubijen
1261,ujutru
1262,najbolja
1263,vašem
1264,svojih
1265,ubistva
1266,njihov
1267,sekundi
1268,završi
1269,pomislio
1270,probleme
1271,apsolutno
1272,zakon
1273,zabavu
1274,našem
1275,prijatelje
1276,prošli
1277,spusti
1278,budućnost
1279,ručak
1280,lakše
1281,majke
1282,svemu
1283,šansu
1284,pričati
1285,kurac
1286,æe
1287,knjige
1288,ћу
1289,pronašao
1290,vjerujem
1291,ostane
1292,pitaš
1293,informacije
1294,žive
1295,pokaži
1296,otkud
1297,znas
1298,postaje
1299,naših
1300,сада
1301,vjerojatno
1302,ustvari
1303,mamu
1304,odvesti
1305,она
1306,morali
1307,upoznali
1308,izaći
1309,pronašli
1310,svojom
1311,vratite
1312,htjela
1313,opusti
1314,nalazi
1315,njene
1316,jack
1317,primer
1318,nikome
1319,bebu
1320,mrtvi
1321,male
1322,ostavila
1323,obzira
1324,pozvao
1325,potrebe
1326,psa
1327,glava
1328,bol
1329,odjednom
1330,stavio
1331,većina
1332,slažem
1333,onim
1334,pustiti
1335,kul
1336,malu
1337,dogovor
1338,vezu
1339,nad
1340,tražimo
1341,pomalo
1342,tvojih
1343,мислим
1344,ulici
1345,tv
1346,ostale
1347,rata
1348,stoji
1349,kreni
1350,hrane
1351,pun
1352,počela
1353,večeri
1354,bolnici
1355,prati
1356,čuti
1357,desiti
1358,agent
1359,vidjela
1360,prave
1361,ludo
1362,karte
1363,umukni
1364,duh
1365,или
1366,pitati
1367,račun
1368,ostao
1369,хвала
1370,prosto
1371,početak
1372,gledati
1373,de
1374,sunce
1375,živiš
1376,vjerovati
1377,ionako
1378,sranja
1379,razumijem
1380,ostatak
1381,svaku
1382,stvarima
1383,svoja
1384,postati
1385,ostavite
1386,из
1387,knjiga
1388,našoj
1389,došlo
1390,zadovoljstvo
1391,naučio
1392,jaja
1393,poslije
1394,napravila
1395,треба
1396,onako
1397,umre
1398,gluposti
1399,čarli
1400,korak
1401,eno
1402,izvinjavam
1403,gleda
1404,jest
1405,slučajno
1406,bićeš
1407,srećno
1408,pada
1409,duboko
1410,sobe
1411,ej
1412,ista
1413,baci
1414,igru
1415,spava
1416,odgovara
1417,nogu
1418,slobodan
1419,hladno
1420,dolje
1421,doneo
1422,pao
1423,krevetu
1424,išta
1425,pitaj
1426,prozor
1427,dođem
1428,vise
1429,završiti
1430,nedelja
1431,poznaješ
1432,до
1433,kolima
1434,njeno
1435,ukrao
1436,napisao
1437,momka
1438,skroz
1439,šališ
1440,ćerka
1441,mlada
1442,nikakve
1443,nekih
1444,gotov
1445,odlučio
1446,putem
1447,uzmem
1448,ženom
1449,dođeš
1450,izgubila
1451,bolnicu
1452,majko
1453,prokleti
1454,gospode
1455,govore
1456,lica
1457,ženi
1458,sjajan
1459,vozi
1460,ostanem
1461,pažljivo
1462,skloni
1463,ко
1464,dozvoliti
1465,džo
1466,novog
1467,ser
1468,cemo
1469,verovati
1470,prestati
1471,razmišljao
1472,pitala
1473,iznenađenje
1474,svejedno
1475,sretan
1476,nece
1477,pokazati
1478,brine
1479,vec
1480,sir
1481,opasno
1482,otkad
1483,oduvek
1484,их
1485,prošao
1486,daću
1487,želio
1488,izašao
1489,ušao
1490,donesi
1491,traže
1492,poslednja
1493,kakvu
1494,prekini
1495,čudo
1496,ubijem
1497,početi
1498,има
1499,mir
1500,niz
1501,napravi
1502,tajna
1503,doktora
1504,stanite
1505,čime
1506,frenk
1507,pomaže
1508,liči
1509,osjećam
1510,mišljenje
1511,brinem
1512,km
1513,džon
1514,žrtva
1515,pri
1516,fbi
1517,више
1518,с
1519,sreću
1520,dobru
1521,para
1522,можда
1523,budala
1524,suviše
1525,meri
1526,krenuo
1527,dečak
1528,хајде
1529,uglavnom
1530,njihova
1531,doba
1532,konja
1533,mnogi
1534,al
1535,veza
1536,zadatak
1537,мој
1538,nigde
1539,ući
1540,gospodaru
1541,brak
1542,izvući
1543,duže
1544,saznati
1545,dogoditi
1546,auta
1547,očima
1548,nosim
1549,sestre
1550,vašim
1551,držite
1552,mozda
1553,fino
1554,zaboga
1555,muškarci
1556,sedite
1557,živa
1558,normalno
1559,blizini
1560,када
1561,glup
1562,čaj
1563,new
1564,jezik
1565,trag
1566,doveo
1567,cijeli
1568,pomogao
1569,rekoh
1570,онда
1571,zanimljivo
1572,m
1573,nazvao
1574,kojem
1575,udario
1576,stići
1577,test
1578,znaci
1579,pametan
1580,pričali
1581,odličan
1582,divan
1583,bre
1584,opasnosti
1585,rano
1586,prijateljica
1587,uzela
1588,zaboravila
1589,nestala
1590,зар
1591,sestru
1592,mada
1593,glupa
1594,ви
1595,uzmite
1596,strah
1597,vodim
1598,onom
1599,počeli
1600,hotel
1601,slušam
1602,hrana
1603,h
1604,čuvaj
1605,probudi
1606,zaboraviti
1607,shvataš
1608,nikako
1609,pokažem
1610,svu
1611,izgubiti
1612,cipele
1613,dobrodošli
1614,volio
1615,кад
1616,proći
1617,obitelj
1618,zabava
1619,uđite
1620,zvati
1621,mojom
1622,zaustaviti
1623,kosu
1624,smem
1625,вам
1626,uopće
1627,njenu
1628,tražila
1629,igraš
1630,dozvoli
1631,spavam
1632,upoznala
1633,klub
1634,рекао
1635,majk
1636,idiot
1637,ubiješ
1638,mirno
1639,pokušala
1640,probaj
1641,cela
1642,нас
1643,davno
1644,doviđenja
1645,don
1646,stiže
1647,brineš
1648,devet
1649,ozbiljan
1650,advokat
1651,obojica
1652,poslati
1653,životinje
1654,vlada
1655,sumnjam
1656,završili
1657,napravili
1658,platiti
1659,deluje
1660,bolestan
1661,ostaneš
1662,gledajte
1663,prsten
1664,izgledam
1665,obećao
1666,odlazim
1667,pobegao
1668,nastavite
1669,ocu
1670,čisto
1671,čekati
1672,знаш
1673,žrtve
1674,nažalost
1675,dajem
1676,nos
1677,тамо
1678,pomozite
1679,lik
1680,dovraga
1681,pripada
1682,dopada
1683,slično
1684,mladi
1685,pita
1686,бих
1687,lagao
1688,pomogneš
1689,vani
1690,razmišljam
1691,plašim
1692,trudna
1693,narod
1694,nevolji
1695,brodu
1696,izvan
1697,težak
1698,stigla
1699,također
1700,ljut
1701,nista
1702,prilika
1703,razgovarao
1704,sreća
1705,nosiš
1706,odmor
1707,pogledam
1708,ostala
1709,vratili
1710,desno
1711,trebati
1712,pokušati
1713,rado
1714,zvezda
1715,zavisi
1716,hiljada
1717,držim
1718,seksi
1719,metara
1720,govorite
1721,učinila
1722,prvog
1723,dogodi
1724,njenog
1725,svetlo
1726,ostaje
1727,govoriti
1728,vidjeli
1729,sud
1730,zvali
1731,vašoj
1732,srediti
1733,mislimo
1734,dečki
1735,pokušavaš
1736,očito
1737,saznao
1738,prekasno
1739,iste
1740,veći
1741,ben
1742,njegovim
1743,razgovarali
1744,živeli
1745,ништа
1746,vazduh
1747,odatle
1748,zaustavi
1749,vraća
1750,john
1751,divna
1752,jeli
1753,snage
1754,šala
1755,shvatila
1756,mark
1757,boje
1758,obe
1759,tražite
1760,sjajna
1761,slatko
1762,brinite
1763,мене
1764,gđa
1765,gladan
1766,poruka
1767,tajne
1768,doma
1769,razmisli
1770,pol
1771,program
1772,klinac
1773,gosp
1774,nož
1775,nazvati
1776,jebem
1777,stare
1778,nikog
1779,vredi
1780,ples
1781,njegovoj
1782,obzirom
1783,dama
1784,zlato
1785,najmanje
1786,spavao
1787,usput
1788,мало
1789,šansa
1790,la
1791,нема
1792,kamo
1793,pakao
1794,postala
1795,tišina
1796,ukoliko
1797,trebaće
1798,tražili
1799,novine
1800,uzeli
1801,čuje
1802,porodici
1803,vau
1804,uspeli
1805,glupi
1806,misliti
1807,izgledaju
1808,izveštaj
1809,samnom
1810,upomoć
1811,kontrolu
1812,predsednik
1813,vikend
1814,pristup
1815,uspeti
1816,dobije
1817,ruka
1818,може
1819,michael
1820,telefona
1821,veruje
1822,zauzet
1823,zbilja
1824,zid
1825,igram
1826,ničega
1827,igrati
1828,grupa
1829,škola
1830,charlie
1831,kriva
1832,velikog
1833,dokaze
1834,platio
1835,držati
1836,prošlost
1837,napada
1838,poručniče
1839,ijudi
1840,pravim
1841,let
1842,kupiti
1843,čovjeka
1844,nekome
1845,pozovi
1846,му
1847,prestanite
1848,sme
1849,krenemo
1850,gle
1851,tajnu
1852,dela
1853,riječ
1854,igre
1855,ostanite
1856,you
1857,dozvolu
1858,pričala
1859,završim
1860,drugoj
1861,brinuti
1862,frank
1863,cilj
1864,daš
1865,more
1866,zatvori
1867,ugovor
1868,devojčica
1869,otkrio
1870,spavanje
1871,postane
1872,uradite
1873,obrada
1874,živimo
1875,metak
1876,životinja
1877,upoznati
1878,prijateljima
1879,spasiti
1880,tatu
1881,sara
1882,njegovi
1883,mozes
1884,zvuk
1885,nađeš
1886,zločina
1887,vino
1888,noću
1889,ulice
1890,stanje
1891,pokret
1892,savet
1893,putovanje
1894,čujete
1895,živeo
1896,doručak
1897,kralja
1898,najveći
1899,nastaviti
1900,supruga
1901,pazite
1902,centar
1903,jede
1904,smeš
1905,totalno
1906,svo
1907,ponovno
1908,muškarca
1909,svijet
1910,pamet
1911,kojom
1912,kom
1913,хеј
1914,tražiti
1915,voz
1916,išla
1917,detektiv
1918,razumeo
1919,dug
1920,čekamo
1921,signal
1922,kreten
1923,gotova
1924,zamisli
1925,moze
1926,kasnim
1927,nađe
1928,henri
1929,zadnje
1930,meso
1931,čuj
1932,dečka
1933,spavaš
1934,odgovori
1935,računa
1936,odluka
1937,vaši
1938,tiho
1939,staviti
1940,dokaza
1941,troje
1942,ludi
1943,kartu
1944,videćemo
1945,jesti
1946,rečeno
1947,jednim
1948,očekivao
1949,džone
1950,nađi
1951,vest
1952,otkaz
1953,oružja
1954,pojavio
1955,nečega
1956,udarac
1957,iskren
1958,stanu
1959,policije
1960,gospođa
1961,svijetu
1962,čas
1963,tjedan
1964,necu
1965,milion
1966,majci
1967,star
1968,istu
1969,samog
1970,dobiješ
1971,jutra
1972,била
1973,odavno
1974,umrem
1975,pesmu
1976,završila
1977,taksi
1978,zao
1979,poslali
1980,popodne
1981,lažeš
1982,negdje
1983,daju
1984,t
1985,mami
1986,umire
1987,jebena
1988,pali
1989,veće
1990,kamion
1991,autu
1992,prve
1993,kažemo
1994,napokon
1995,uveče
1996,malog
1997,dnk
1998,motor
1999,velikim
2000,молим
2001,razumete
2002,prošla
2003,levo
2004,jak
2005,poslala
2006,umoran
2007,krivica
2008,igramo
2009,celo
2010,početka
2011,ratu
2012,vratiću
2013,fer
2014,sumnje
2015,shvatiti
2016,napustio
2017,bićemo
2018,oba
2019,trenutka
2020,ubija
2021,bob
2022,nek
2023,dušu
2024,volimo
2025,živote
2026,pobrinuti
2027,zabave
2028,kuci
2029,имам
2030,muziku
2031,želeli
2032,riba
2033,čekaju
2034,zlo
2035,gej
2036,sjećaš
2037,obožavam
2038,mjesta
2039,proveo
2040,važan
2041,policiji
2042,situacija
2043,odluku
2044,damo
2045,svetla
2046,osobe
2047,partner
2048,mrdaj
2049,kraljica
2050,kontakt
2051,strana
2052,pokazao
2053,prošlosti
2054,pritisak
2055,baka
2056,venčanje
2057,kancelariji
2058,imenu
2059,srećni
2060,laži
2061,promeniti
2062,pozdrav
2063,proveri
2064,tad
2065,hm
2066,joe
2067,odeću
2068,takvu
2069,adresu
2070,živeti
2071,hitno
2072,naučiti
2073,noćas
2074,puna
2075,načina
2076,broda
2077,osobu
2078,nazovi
2079,нам
2080,vozim
2081,objasnim
2082,spasio
2083,funti
2084,pukovniče
2085,jednoj
2086,vatru
2087,dolaziš
2088,snagu
2089,pustio
2090,držiš
2091,preveo
2092,ubij
2093,george
2094,dozvolite
2095,popričamo
2096,situaciju
2097,čekao
2098,trči
2099,sazna
2100,пре
2101,cura
2102,они
2103,grozno
2104,traje
2105,reče
2106,gospodina
2107,kancelariju
2108,sjećam
2109,koristiti
2110,učinim
2111,djevojka
2112,deco
2113,obitelji
2114,zatvora
2115,trebate
2116,objasniti
2117,osećanja
2118,veličanstvo
2119,nik
2120,budućnosti
2121,govor
2122,išli
2123,podatke
2124,pričate
2125,uhvati
2126,hey
2127,sladak
2128,uzmeš
2129,koristio
2130,valja
2131,narode
2132,spavati
2133,ни
2134,mnoge
2135,večera
2136,droge
2137,koriste
2138,pozovem
2139,pozadi
2140,napravim
2141,mogućnosti
2142,један
2143,drvo
2144,pijan
2145,nositi
2146,hotelu
2147,primetio
2148,promenio
2149,тебе
2150,kamen
2151,miris
2152,skini
2153,okreni
2154,zločin
2155,njenom
2156,bivši
2157,heroj
2158,pričaju
2159,savršen
2160,plaši
2161,bolesna
2162,prođe
2163,majkl
2164,pošteno
2165,odgovornost
2166,naredniče
2167,zelim
2168,prvu
2169,srcu
2170,gori
2171,izlaz
2172,bliže
2173,drugima
2174,ana
2175,pokazuje
2176,zapamti
2177,unutar
2178,zabrinut
2179,ustani
2180,желим
2181,pozvati
2182,učinili
2183,ljuta
2184,prvom
2185,vrstu
2186,prodaju
2187,početku
